Question,Course,Answer
"What is object-oriented programming (OOP)?","Software Development","OOP is a programming paradigm where data and behavior are bundled into objects."
"What is a class in programming?","Software Development","A class is a blueprint for creating objects with properties and methods."
"What is a variable?","Software Development","A variable is a named storage location in memory for data values."
"What is a function/method?","Software Development","A function (or method) is a block of code that performs a specific task."
"What is an if statement?","Software Development","An if statement executes code conditionally based on a true/false condition."
"What is a loop?","Software Development","A loop repeats code multiple times until a condition is met."
"What is inheritance in OOP?","Software Development","Inheritance allows one class to acquire properties and methods from another class."
"What is polymorphism in OOP?","Software Development","Polymorphism allows objects to be treated as instances of their parent class."
"What is a constructor?","Software Development","A constructor is a special method used to initialize objects when created."
"What is a syntax error?","Software Development","A syntax error occurs when code does not follow the rules of the programming language."
"What is a network?","Communication Networks","A network is a group of computers connected to share resources and data."
"What is an IP address?","Communication Networks","An IP address is a unique identifier for a device on a network."
"What is a router?","Communication Networks","A router is a device that forwards data packets between networks."
"What is a switch?","Communication Networks","A switch connects devices within a network and forwards data to the correct device."
"What is TCP/IP?","Communication Networks","TCP/IP is a protocol suite used for communication over the internet."
"What is a subnet?","Communication Networks","A subnet is a smaller network within a larger network, defined by a subnet mask."
"What is DNS?","Communication Networks","DNS (Domain Name System) translates domain names to IP addresses."
"What is a firewall?","Communication Networks","A firewall controls incoming and outgoing network traffic based on security rules."
"What is a MAC address?","Communication Networks","A MAC address is a unique identifier assigned to a network interface."
"What is bandwidth?","Communication Networks","Bandwidth is the maximum rate at which data can be transmitted over a network."
"What is a virtual machine (VM)?","Computer Server Administration","A VM is a software emulation of a physical computer running an OS."
"What is Hyper-V?","Computer Server Administration","Hyper-V is a virtualization platform by Microsoft for creating and managing VMs."
"How do you create a new VM in Hyper-V?","Computer Server Administration","Open Hyper-V Manager, click 'New' > 'Virtual Machine', and follow the wizard."
"What is an ISO file?","Computer Server Administration","An ISO file is a disk image used to install an OS on a VM or physical machine."
"How do you start a VM?","Computer Server Administration","Select the VM in Hyper-V Manager and click 'Start'."
"How do you configure VM memory?","Computer Server Administration","During VM creation or settings, allocate the required RAM for the VM."
"What is a virtual switch?","Computer Server Administration","A virtual switch connects VMs to each other or to external networks."
"How do you install an OS on a VM?","Computer Server Administration","Mount an ISO file in VM settings, then start the VM and follow OS installation steps."
"How do you shut down a VM?","Computer Server Administration","Right-click the VM and select 'Shut Down' or 'Turn Off'."
"What is snapshot in Hyper-V?","Computer Server Administration","A snapshot saves the current state of a VM to restore later if needed."
